componente,valor_singular,varianza_explicada,varianza_acumulada
1,190.10728,0.24294666349889796,0.24294666349889796
2,130.85823,0.11511065081676157,0.3580573143156595
3,99.35425,0.06635693281227281,0.4244142471279323
4,94.5509,0.06009589213812496,0.48451013926605724
5,77.80295,0.040691671326874256,0.5252018105929315
6,64.220795,0.02772456703312105,0.5529263776260526
7,54.549046,0.020002659145590185,0.5729290367716428
8,51.78201,0.018024831596402655,0.5909538683680454
9,50.2816,0.016995408830042743,0.6079492771980881
10,48.275295,0.015666186752749063,0.6236154639508372
11,47.24979,0.015007667211484244,0.6386231311623215
12,43.219257,0.012556483263717621,0.6511796144260391
13,42.236416,0.011991887254154843,0.663171501680194
14,39.28811,0.010376136354053841,0.6735476380342479
15,38.63323,0.010033106520143381,0.6835807445543912
16,37.32112,0.00936316737965003,0.6929439119340413
17,36.31795,0.008866579319551067,0.7018104912535923
18,34.939716,0.008206390361790399,0.7100168816153827
19,33.48913,0.007539127772465653,0.7175560093878484
20,32.19702,0.006968588450728336,0.7245245978385767
21,30.085949,0.006084723534130419,0.7306093213727071
22,29.645798,0.00590798935738384,0.7365173107300909
23,28.555248,0.005481321838351908,0.7419986325684428
24,28.16029,0.005330741961064023,0.7473293745295068
25,27.063093,0.004923435898333666,0.7522528104278404
26,26.950184,0.004882439686389684,0.7571352501142301
27,26.49572,0.0047191618282588395,0.7618544119424889
28,25.588049,0.004401368867835786,0.7662557808103247
29,25.345638,0.00431837036612122,0.770574151176446
30,24.750706,0.004118021361226428,0.7746921725376724
31,23.985237,0.0038672429346388623,0.7785594154723113
32,23.15084,0.003602856439993204,0.7821622719123046
33,23.086903,0.0035829831368852766,0.7857452550491899
34,22.406034,0.00337476410797973,0.7891200191571697
35,21.677149,0.0031587680772793714,0.792278787234449
36,21.398401,0.0030780528774142454,0.7953568401118633
37,21.191475,0.0030188100758472415,0.7983756501877105
38,21.0566,0.0029805055846925856,0.801356155772403
39,20.898611,0.002935947391899323,0.8042921031643023
40,20.65921,0.002869068063105334,0.8071611712274077
41,20.284065,0.0027658168602910397,0.8099269880876988
42,20.032227,0.002697564693502806,0.8126245527812016
43,19.719234,0.0026139274159547978,0.8152384801971564
44,19.51628,0.0025603979332627477,0.8177988781304192
45,19.35514,0.0025182920059228027,0.820317170136342
46,18.994234,0.002425252684290437,0.8227424228206324
47,18.677187,0.0023449649437003884,0.8250873877643328
48,18.55525,0.002314445987654309,0.8274018337519871
49,18.235838,0.002235449533625835,0.8296372832856129
50,18.128939,0.002209317750155862,0.8318466010357688
51,17.900885,0.0021540828800343664,0.8340006839158032
52,17.729809,0.002113107184960175,0.8361137911007633
53,17.49713,0.0020580078706978785,0.8381717989714612
54,17.286205,0.002008689247644849,0.8401804882191061
55,17.23033,0.001995724496166808,0.8421762127152729
56,17.136667,0.001974086370139174,0.8441502990854121
57,16.797142,0.0018966369662363088,0.8460469360516484
58,16.639198,0.0018611364607417711,0.8479080725123902
59,16.39605,0.0018071402693439933,0.8497152127817342
60,16.221638,0.0017688981119473772,0.8514841108936816
61,15.96107,0.001712527009895595,0.8531966379035771
62,15.687596,0.0016543455699045743,0.8548509834734818
63,15.435797,0.0016016644053442619,0.856452647878826
64,15.401597,0.0015945749385786405,0.8580472228174046
65,15.1236925,0.0015375494769535338,0.8595847722943581
66,14.93735,0.0014998939461336556,0.8610846662404918
67,14.898429,0.001492087762362978,0.8625767540028548
68,14.893627,0.0014911261202799429,0.8640678801231347
69,14.732311,0.001458999668556333,0.8655268797916911
70,14.567717,0.0014265808509795988,0.8669534606426706
71,14.432318,0.0014001855294221508,0.8683536461720928
72,14.297355,0.001374120457106896,0.8697277666291997
73,14.227765,0.001360776478661417,0.8710885431078611
74,14.018248,0.0013209940922331344,0.8724095372000943
75,13.959786,0.001309999015568784,0.8737195362156631
76,13.825885,0.001284988648343135,0.8750045248640063
77,13.715801,0.0012646076013496446,0.8762691324653559
78,13.627382,0.0012483555605286767,0.8775174880258846
79,13.49048,0.0012233993745235185,0.8787408874004081
80,13.445264,0.0012152120892151945,0.8799560994896233
81,13.082981,0.0011506065730436752,0.881106706062667
82,13.028596,0.001141060447613778,0.8822477665102807
83,12.949087,0.001127175989537408,0.8833749424998181
84,12.893445,0.0011175098687377452,0.8844924523685558
85,12.853929,0.0011106703700965851,0.8856031227386524
86,12.669011,0.0010789438812258835,0.8866820666198783
87,12.53259,0.001055832631472946,0.8877378992513512
88,12.4597645,0.0010435976402794957,0.8887814968916307
89,12.451266,0.0010421745526266741,0.8898236714442573
90,12.392962,0.0010324373087290874,0.8908561087529864
91,12.248387,0.0010084891860485494,0.8918645979390349
92,12.064918,0.000978502951028821,0.8928431008900638
93,11.994853,0.0009671710386444824,0.8938102719287083
94,11.917838,0.0009547911493190757,0.8947650630780274
95,11.855783,0.0009448740882806377,0.895709937166308
96,11.722139,0.0009236920003037347,0.8966336291666117
97,11.662224,0.0009142735713519067,0.8975479027379636
98,11.604542,0.0009052518371461016,0.8984531545751097
99,11.569893,0.0008998540971317363,0.8993530086722414
100,11.393133,0.0008725689785839833,0.9002255776508254
101,11.305563,0.0008592070044340299,0.9010847846552594
102,11.2836895,0.0008558855136780502,0.9019406701689375
103,11.270783,0.0008539287414627549,0.9027945989104003
104,11.201975,0.0008435340346537941,0.903638132945054
105,11.103766,0.0008288082366075902,0.9044669411816616
106,11.005943,0.0008142691181320395,0.9052812102997937
107,10.9606285,0.0008075777385490307,0.9060887880383427
108,10.846637,0.0007908672940763834,0.9068796553324191
109,10.773904,0.0007802964168919022,0.907659951749311
110,10.678046,0.0007664732725628517,0.9084264250218739
111,10.64715,0.0007620442148281992,0.909188469236702
112,10.555373,0.0007489634208034555,0.9099374326575055
113,10.501248,0.0007413021877045543,0.91067873484521
114,10.419751,0.0007298407658139427,0.911408575611024
115,10.386672,0.0007252141316973389,0.9121337897427213
116,10.274178,0.0007095901124031169,0.9128433798551244
117,10.183749,0.0006971541425892756,0.9135405339977137
118,10.108522,0.0006868925071126644,0.9142274265048264
119,10.077999,0.0006827505423584933,0.9149101770471848
