K,varianza_capturada,porcentaje_numeros_originales,reduccion_porcentual,rmse_reconstruccion_train
10,0.6236154639508372,0.34317089910775567,99.65682910089224,0.0963449776172638
25,0.7522528104278404,0.8579272477693891,99.14207275223062,0.0781659185886383
50,0.8318466010357688,1.7158544955387782,98.28414550446122,0.06439701467752457
100,0.9002255776508254,3.4317089910775564,96.56829100892244,0.049604631960392
250,0.9637009423379965,8.579272477693891,91.42072752230611,0.02991982363164425
500,0.9886864315173949,17.158544955387782,82.84145504461222,0.016703473404049873
