componente,eigenvalue,varianza_explicada,varianza_acumulada
CP1,3.4186829341737623,0.3786990889594713,0.3786990889594713
CP2,1.2176773131553307,0.1348862407007594,0.5135853296602307
CP3,1.1449592665579542,0.12683101635630165,0.6404163460165324
CP4,0.9237254999052583,0.10232420262375037,0.7427405486402828
CP5,0.7555814784171858,0.08369831979764844,0.8264388684379312
CP6,0.6324843418624414,0.07006243300603879,0.89650130144397
CP7,0.49455091441837257,0.05478308001662488,0.9512843814605949
CP8,0.3190081167814652,0.03533760969413057,0.9866219911547255
CP9,0.12076915911846828,0.013378008845274438,0.9999999999999999
