motor,recall_at_10,mrr_at_10,catalog_coverage,novelty_bits,long_tail_share,personalization,unique_artists_recommended,explainability,business_score,rank
Apriori,0.17712108627806306,0.5114871723883352,0.03402903811252268,3.846187144303675,0.0,0.9452242399509542,600,1.0,0.9898296218934166,1
Coseno usuario-usuario,0.17238414040739627,0.48129656196516657,0.034993194192377494,3.578495594846522,0.00459830866807611,0.9335785637888523,617,0.85,0.9074525618324312,2
SVD,0.16473161851068827,0.45320753213195075,0.018318965517241378,3.8047948924040944,0.0,0.9612423558704858,323,0.45,0.7054617847838802,3
Popularidad simple,0.0702437581798047,0.18934213396422697,0.0015313067150635208,2.4400572023608467,0.0,0.41654361655690364,27,1.0,0.15107551732854557,4
Popularidad ponderada,0.06995012416524045,0.19003741736299876,0.001644736842105263,2.441845877200806,0.0,0.4161200040602886,29,1.0,0.15086877437480742,5
